Price,Close,High,Low,Open,Volume
Ticker,APD,APD,APD,APD,APD
Date,,,,,
2019-12-30,209.11265563964844,209.7791005914584,208.22406237056848,209.53917661232677,470800
2019-12-31,209.8448944091797,209.96991316083455,208.45181080014004,209.5591294762417,527100
2020-01-02,206.4068603515625,211.46121523846773,206.1389591307754,210.07707028608613,1320500
2020-01-03,201.81687927246094,205.62997191293942,201.79901555635394,204.1833106807775,1710400
2020-01-06,201.7275848388672,203.73682378597155,200.8703171853426,201.05783852316574,1737400
2020-01-07,202.5848846435547,204.34408621708053,200.84354678870102,201.29004437333145,1518900
2020-01-08,203.68324279785156,204.451219105173,201.69186760164328,203.3439139360282,965700
2020-01-09,208.51437377929688,208.7197588546704,204.74593304318216,205.45140686341634,1320900
2020-01-10,207.1748504638672,210.11279816680553,206.50510418004004,209.4073380766244,949000
2020-01-13,211.51483154296875,211.88096282431465,207.42491212531388,207.49635337235878,1376800
2020-01-14,209.42518615722656,211.63088484403607,208.86259496048717,210.7736036692914,944200
2020-01-15,210.2646484375,211.39874249111864,208.74654574974605,209.92530591303384,779500
2020-01-16,210.5414581298828,211.84522334275567,210.28248192081674,211.52374456234443,756600
2020-01-17,211.63983154296875,211.95238526780864,210.0056489301091,210.79148895186194,1857000
2020-01-21,211.80055236816406,213.5329648876598,210.15744480110482,211.15760848950742,1699900
2020-01-22,212.5685577392578,213.55085784648236,211.56840753991975,213.07757151100813,927800
2020-01-23,211.89881896972656,212.2828139803092,208.63939203308738,210.58612859910454,1072300
2020-01-24,217.84613037109375,218.43551034903973,212.12202907605936,212.12202907605936,1763500
2020-01-27,208.48757934570312,215.09573802383912,208.38934933388646,214.67602921207921,1368900
2020-01-28,211.148681640625,212.01488794887078,208.7286726307608,209.04121272974197,1338500
2020-01-29,211.8809814453125,212.47034793968595,210.35395361082823,212.47034793968595,709000
2020-01-30,215.5779571533203,215.8726471807278,210.87186901276198,211.03261522135892,1074100
2020-01-31,213.16683959960938,214.89923843062257,212.36313593472565,214.62241216448186,1596400
2020-02-03,217.00674438476562,217.59612444827715,212.86324747412073,214.22060390420123,1639600
2020-02-04,220.65016174316406,221.4627905756026,217.24785250359793,218.70343891488628,1447300
2020-02-05,223.49880981445312,223.77563611191601,217.12282542318923,222.10573965559234,1590800
2020-02-06,224.19534301757812,224.69541808313545,222.19504275534888,223.9006530055125,1517600
2020-02-07,223.17733764648438,224.4721778388465,222.4718775006399,223.60597148666807,730800
2020-02-10,224.77581787109375,225.03478047221802,223.53455514289513,224.58828289191598,861600
2020-02-11,225.40089416503906,227.097579387345,225.2312229176037,226.17779553379697,965400
2020-02-12,226.9100799560547,227.45480755913758,225.5795122367801,225.74918350059647,690000
2020-02-13,227.60659790039062,228.8925130384079,226.15993655710915,226.72252783649773,666200
2020-02-14,228.6156768798828,228.65137706125418,227.40118941208573,227.91020314311936,650800
2020-02-18,228.3745574951172,229.133595107027,227.68694749583878,228.52636501749916,857900
2020-02-19,228.4459991455078,229.5086654301198,227.72266171258698,228.97286295225766,931000
2020-02-20,228.0709686279297,228.6157098709921,225.13302041540223,227.62447102793294,922900
2020-02-21,227.6869354248047,228.24058796249508,226.55282796357932,227.9280478892276,1587000
2020-02-24,219.257080078125,224.22213052409748,218.49802881256886,223.03444543703918,1330700
2020-02-25,210.29141235351562,220.0250530926889,209.69310729625124,219.2660018385048,1423700
2020-02-26,210.3181915283203,214.4706129328094,209.95206029882578,210.70217284752968,1310200
2020-02-27,200.11126708984375,208.31789417343572,200.0219757561715,207.0677064938344,1410300
2020-02-28,196.11065673828125,198.94144960310177,190.93128237280143,194.12820650312855,2353600
2020-03-02,205.96929931640625,206.13897055317383,197.02149887887265,197.43226896428828,1625400
2020-03-03,203.03140258789062,211.83633638478994,200.5220880908011,206.36227108796143,1607800
2020-03-04,211.8184051513672,212.03272885053937,205.2013091224145,206.65689529066233,1213900
2020-03-05,208.9608612060547,209.61274383812008,204.638768030842,205.83537823929746,1548200
2020-03-06,205.1299285888672,206.7551727293148,201.31683535877937,202.02229555482546,2175000
2020-03-09,183.19793701171875,191.98501904103975,182.83181938109914,191.98501904103975,2393700
2020-03-10,191.618896484375,191.618896484375,182.72465900090796,188.3594560867464,1962500
2020-03-11,185.56439208984375,190.3240578025101,181.67985779566027,187.52897866493822,1470600
2020-03-12,167.64199829101562,184.10883325677742,159.3817920401058,176.72375855554142,2288700
2020-03-13,184.2784881591797,184.42137065998526,168.4814010502789,176.0539964546463,2180400
2020-03-16,161.05169677734375,170.74068694327087,149.51418630047482,151.94313444023396,1809000
2020-03-17,183.15330505371094,183.74267147871353,162.15898100553906,165.51665138640135,2284700
2020-03-18,180.00103759765625,188.89526159544664,163.266303704783,170.30310979518208,2582200
2020-03-19,170.5977783203125,182.93897717259128,168.40101799958367,178.1525228799975,1818200
2020-03-20,168.9100341796875,173.10712245963245,162.78408665149834,170.53529196060663,2155600
2020-03-23,157.81906127929688,173.78582218289034,155.3008215274706,166.46326318243752,2162800
2020-03-24,173.61614990234375,179.24202318966238,160.08727614386348,165.70421075725142,2161600
2020-03-25,170.6959991455078,182.72464361464802,169.41902275860076,172.66952421057337,2165300
2020-03-26,179.7956085205078,181.09938720501341,169.6511848606216,172.3301698381336,1512800
2020-03-27,172.49989318847656,177.84000104190133,170.865710223296,174.41090250481412,1173100
2020-03-30,184.4302978515625,186.26986578624755,176.00935964301237,177.23275870857904,1281800
2020-03-31,179.41482543945312,185.05047354630386,177.49133655733146,182.19219707351968,2372800
2020-04-01,170.12998962402344,177.42846116852627,169.46485264343565,172.5748003934652,1566500
2020-04-02,174.82180786132812,179.0822517152488,167.58624957445147,168.64687230150696,1963500
2020-04-03,167.72105407714844,175.26220892876103,166.5076326447471,173.82408083961917,1943700
2020-04-06,174.24658203125,178.14748745539455,171.32539462890497,174.92968553254866,2090400
2020-04-07,181.58999633789062,184.92465014997455,178.19243177501795,178.51601000553012,1383800
2020-04-08,193.93089294433594,195.56676453562758,180.7271368996743,182.88431603971836,1804000
2020-04-09,197.1306915283203,200.07884220305104,193.3646052106287,193.3646052106287,1744000
2020-04-13,194.31739807128906,197.7329431813395,191.90853474377576,196.12403528066602,1096700
2020-04-14,198.4519805908203,201.58889133610793,196.38468974101337,199.2159889240166,965400
2020-04-15,192.18714904785156,197.08575226515453,190.57824142819092,197.08575226515453,1042400
2020-04-16,191.34225463867188,193.49045015403803,190.14681334221166,192.74442226008125,974400
2020-04-17,199.0901336669922,201.19338506063062,192.8972176423845,195.4588794757961,1755600
2020-04-20,192.6815185546875,198.8025275616908,191.6478731035967,197.28352161822082,800500
2020-04-21,186.40769958496094,188.86149304146804,184.62802626491256,188.71769116909724,1498500
2020-04-22,192.74441528320312,193.59829797404947,189.45470600435524,192.03433445254603,1318100
2020-04-23,189.8951416015625,197.5531360516808,188.457013237639,196.14198510952616,1113900
2020-04-24,194.84768676757812,195.34204428650784,190.75802178735532,191.71977311645583,811900
2020-04-27,199.7732696533203,199.94404896538708,193.70618784153507,194.55108735491132,1194300
2020-04-28,200.99562072753906,204.21342193472307,198.7485539947296,202.61351151816328,1093400
2020-04-29,207.33236694335938,208.41995335682827,202.2719678991748,203.1168672474054,1323800
2020-04-30,202.75738525390625,205.3819583050447,201.47205558216095,203.0539997935398,1284000
2020-05-01,199.7642822265625,200.3485142363841,196.72624285946546,198.0924636129839,827200
2020-05-04,200.75296020507812,201.7955888122257,197.31045210494963,199.13506931121765,1345100
2020-05-05,201.60687255859375,204.7617499798738,200.9147720186228,202.2360486335629,1106400
2020-05-06,200.77993774414062,203.58427301004573,200.37545470655076,201.0945188994776,1314400
2020-05-07,203.85394287109375,205.31902138619554,200.58221351640378,203.26969715935732,761700
2020-05-08,209.85806274414062,209.92997052891167,206.0021020764704,207.70088406103957,808700
2020-05-11,209.13003540039062,209.90302701728393,204.8336442808002,205.83134260359262,852300
2020-05-12,206.9638671875,210.46030311317165,206.79310160525145,209.10307949629464,1062800
2020-05-13,202.99105834960938,209.29184352690072,200.69904707319841,206.5953628993607,1128400
2020-05-14,202.7933349609375,202.928167234366,197.3104987167883,199.2789319597493,958900
2020-05-15,204.9684600830078,205.04036787373698,200.0069459577737,201.9843622002953,1441300
2020-05-18,214.77467346191406,216.90490242656213,211.9883184507638,212.06021252968867,1159300
2020-05-19,212.1501007080078,215.01736055931147,211.93437732619802,213.6421565734212,720400
2020-05-20,215.53866577148438,217.75876902748553,214.39715191440894,215.4128305701932,781700
2020-05-21,211.70968627929688,215.9431670986449,211.3951050869315,214.8016530723222,736200
2020-05-22,210.64004516601562,212.02423226607095,209.5794225154476,210.7389166528058,775100
2020-05-26,213.7410125732422,216.18582252972902,213.23767176720224,214.76567456125443,1043100
2020-05-27,211.36813354492188,216.30268436542207,208.89635961144413,215.9431590974656,1025700
2020-05-28,216.32965087890625,218.28910064519462,212.72535996113675,214.90051940499114,930100
2020-05-29,217.20147705078125,218.3879349352411,215.31394911869648,216.88689591960429,1241800
2020-06-01,218.05538940429688,219.86202635343855,215.20609634984194,217.61495933037287,711700
2020-06-02,220.4822540283203,220.59909220585158,217.3453430290095,218.0014828636466,933700
2020-06-03,223.3225555419922,225.25502804617076,220.5541668218821,221.96531803639598,849100
2020-06-04,219.2867889404297,223.64610467375755,218.51379729642753,222.3248280995328,1210300
2020-06-05,223.4303436279297,225.01227368887194,222.3966846897797,224.55387700743594,1243100
2020-06-08,224.32923889160156,224.54496230379922,221.102453331083,221.9473391700819,889400
2020-06-09,225.48867797851562,225.87518063955022,220.9585968798182,222.35178118167252,1014400
2020-06-10,222.78321838378906,226.98972136029056,222.45065684586305,226.4594168227845,625900
2020-06-11,209.49855041503906,219.73618703171084,209.09408110146722,218.75646911961255,1370100
2020-06-12,211.26025390625,215.72742438698563,207.2964379752527,214.7117593865531,854300
2020-06-15,213.03094482421875,214.2803135856418,205.98414567655206,206.73017360100025,709300
2020-06-16,213.95672607421875,218.15425931191984,212.67141032959722,216.8150024385306,961600
2020-06-17,213.42645263671875,216.20382456989338,212.79727652621148,215.83531595053162,513900
2020-06-18,214.0196533203125,215.32294945815988,212.33885156622716,213.53429287515186,678400
2020-06-19,211.68272399902344,217.47117158576765,211.57486915691356,217.47117158576765,1386600
2020-06-22,212.54556274414062,213.58820506610766,209.96593435953966,211.31417448501185,667200
2020-06-23,214.90054321289062,216.00611029293768,212.5815679170763,215.17019405473167,975900
2020-06-24,209.55247497558594,214.8106171254671,206.73015943451506,213.0039665197602,1164400
2020-06-25,213.2916259765625,213.60620716235522,207.3863266641352,209.37274014646897,860400
2020-06-26,212.14108276367188,213.9477195033991,210.71193787925336,212.6264431497902,1243700
2020-06-29,214.4691162109375,215.6555607478555,211.94341447419163,214.4691162109375,993300
2020-06-30,218.2564239501953,219.69362640672114,213.3211075127827,213.46573530264402,1544500
2020-07-01,220.32635498046875,221.32065379172565,216.35822138503195,218.65412892311812,1049100
2020-07-02,223.6436767578125,223.95100046508261,221.383919276476,221.60989502460967,1333000
2020-07-06,224.99049377441406,226.86156576854074,221.32968395160023,226.27403434927768,1131600
2020-07-07,239.65179443359375,239.77832650289878,227.48525461290367,227.64796431658706,2682600
2020-07-08,243.86399841308594,250.25457166690637,240.4201301853711,240.79975399830715,2793000
2020-07-09,245.50003051757812,245.870634012785,240.38393684839073,244.9757513936554,1504300
2020-07-10,246.93724060058594,247.52477198083656,243.90916030553672,246.23219742729958,951600
2020-07-13,247.98583984375,253.72563048184134,247.25368048391582,249.5405543972733,1180900
2020-07-14,253.98770141601562,254.49388490172333,246.79264108208673,247.66942811713955,1990300
2020-07-15,254.8734588623047,257.8834428746609,254.08706788542437,255.57850190208595,1327100
2020-07-16,259.5919189453125,260.3240782084793,255.5876350571421,255.96725889030094,2252300
2020-07-17,265.7474670410156,266.98580966772016,259.98056181204714,261.2279522954201,1961500
2020-07-20,262.91827392578125,267.46490513251234,260.32407660377027,265.25937949893586,1037600
2020-07-21,262.484375,264.5452724978325,262.05049167969366,263.0357425253534,1057500
2020-07-22,267.1124267578125,267.80842224771783,261.82458785145053,262.52058334135586,820600
2020-07-23,265.069580078125,271.0082299759626,261.6257115258484,261.6257115258484,1318700
2020-07-24,263.5058288574219,265.1599870224042,261.5443745253131,263.9125962973183,1064000
2020-07-27,266.3892822265625,268.5405760775033,264.17473612142606,265.4311471209234,1077300
2020-07-28,261.4720458984375,266.3983289421879,261.35456166404435,266.1904212937678,775400
2020-07-29,261.0924072265625,264.5995555509468,260.7127557998793,261.4177990909202,1131200
2020-07-30,257.4405822753906,259.7907353281146,255.96721613747388,258.5342970586277,1042200
2020-07-31,259.085693359375,259.18510943788567,254.05094757202443,258.1727426006654,1546200
2020-08-03,251.65567016601562,260.89356112705644,251.58334246907768,260.3963978616436,1731000
2020-08-04,252.7131805419922,253.96057105579382,248.17559755729968,249.77549588569374,2065300
2020-08-05,257.26885986328125,260.36022016953126,254.0690356138172,254.13231544233528,1624700
2020-08-06,255.79550170898438,257.5852395835206,254.05097553550644,256.40112885769423,1293700
2020-08-07,254.62039184570312,256.10277815122,252.36968261330708,256.10277815122,861700
2020-08-10,254.21368408203125,254.7108473087835,252.09855426248495,253.79789640423974,980600
2020-08-11,254.5390625,257.33211915457264,253.86113532408643,255.0000342218706,967000
2020-08-12,257.97393798828125,259.7455803320203,255.45204062757034,256.70847917132477,755400
2020-08-13,260.6043395996094,260.7670355616015,256.86219454910275,256.96161066422985,758200
2020-08-14,261.9691467285156,263.98483255370496,260.0347812697137,260.70368817762665,1017200
