Price,Close,High,Low,Open,Volume
Ticker,DD,DD,DD,DD,DD
Date,,,,,
2019-12-30,56.519535064697266,58.24352288435585,56.4832397827172,57.79891433337153,3710800
2019-12-31,58.252593994140625,58.279820648748284,56.256401858530104,56.28362159052027,5139100
2020-01-02,57.6174430847168,59.12366617955157,57.59929544319134,58.79701555471071,5967300
2020-01-03,56.40158462524414,57.118400963733734,56.147524540233775,56.93692799102245,6005300
2020-01-06,56.002342224121094,56.68286321954197,55.98419458221949,56.147519898025195,5619000
2020-01-07,55.14034652709961,56.18380994362531,54.76832853315415,56.18380994362531,9185300
2020-01-08,55.80271911621094,56.07492680988195,55.222008446697146,55.693836731004254,6361700
2020-01-09,55.30367660522461,56.06586030014766,55.23108603365624,55.766429384391586,5572300
2020-01-10,54.17854690551758,55.56681216385404,54.0333692238762,55.44885421586137,6599300
2020-01-13,54.804630279541016,54.822774461699964,53.815606209042805,54.02429891696145,8087700
2020-01-14,54.59592819213867,55.2945968140313,54.14224753854413,54.940726458036956,7003200
2020-01-15,55.47605895996094,56.338052726119855,54.459815463058774,54.59591755583669,5748500
2020-01-16,55.984195709228516,56.71915618384082,55.46700001920176,55.721060088321195,8621700
2020-01-17,55.85715866088867,56.28361608603203,55.53958015305771,56.120290787446606,7188300
2020-01-21,56.05678176879883,56.17473971067383,55.53958608844296,55.73013113671959,6843100
2020-01-22,55.14942169189453,56.07493068335399,54.868141888905,56.00234357530499,5447400
2020-01-23,54.93165588378906,55.27645069789332,54.450752024018314,55.131273023189216,5122900
2020-01-24,53.88819885253906,54.977033343211765,53.797464087195266,54.93166596053987,4405300
2020-01-27,52.07345962524414,53.071559039491405,52.055311985569645,52.81749554535679,6733900
2020-01-28,52.57251739501953,52.99897835354129,52.23679465177315,52.48178264105316,4919300
2020-01-29,52.345672607421875,53.434506869179046,52.23679021963877,52.77213352975971,4828700
2020-01-30,47.836090087890625,50.1861560544709,46.92872876428911,50.12264103872349,22861000
2020-01-31,46.43875503540039,47.482221991871405,46.22098678436587,47.3642640450065,11620900
2020-02-03,47.0103874206543,47.25537537253201,46.09395062348486,46.69280890763868,11306100
2020-02-04,47.81793975830078,48.144590370246284,47.055756150864134,47.57295179934165,9403500
2020-02-05,49.07008743286133,49.433029777463034,47.87236765788328,48.3351237334832,9275800
2020-02-06,48.82511520385742,49.451193285622566,48.25347658753604,49.451193285622566,7749800
2020-02-07,47.68184280395508,48.39865916962668,47.30075266198841,48.33514414596557,5476000
2020-02-10,46.98318099975586,47.81795544426388,46.72004877497968,47.46408498567722,5506000
2020-02-11,47.80887222290039,48.63457098095143,47.255384661315375,47.27352884385791,5609000
2020-02-12,48.589202880859375,48.879558255558734,47.98127239674169,48.008492131460656,3871900
2020-02-13,48.33514404296875,48.67994235732947,47.84516803750496,48.23533373133992,4241600
2020-02-14,48.180885314941406,48.670861264633125,47.754427842854575,48.40772564780141,5914400
2020-02-18,48.489383697509766,49.04287461089218,47.69998038335063,48.47123605724872,8327800
2020-02-19,48.54383087158203,48.94306860837996,48.35328582410862,48.67993645481091,6395500
2020-02-20,47.68184280395508,48.67994246106102,47.418707156610935,48.31699650187537,4971900
2020-02-21,47.572959899902344,47.74535732498057,47.200941853242576,47.38241483092496,4033500
2020-02-24,45.77637481689453,46.26635071256993,45.005115693411014,45.91247692482098,7087800
2020-02-25,43.07243728637695,45.82174061570032,42.66412405397539,45.82174061570032,10657600
2020-02-26,42.88188934326172,43.81647374503062,42.31932636115706,43.78017846584752,9556100
2020-02-27,41.156028747558594,43.07365905942838,41.1195015933425,41.84089721371511,8843600
2020-02-28,39.17448806762695,39.90501392897066,38.40743504236054,39.37538050235767,13559800
2020-03-02,41.04644775390625,41.08297490543981,38.818340278251654,39.32057990328586,9803300
2020-03-03,39.85020446777344,42.24267684635284,39.694969319139936,41.01904529698711,10211000
2020-03-04,40.325050354003906,40.726838552351744,38.78181484776033,40.726838552351744,15079800
2020-03-05,38.73616027832031,39.95066207751911,38.599188669821594,38.927926103692585,8795200
2020-03-06,36.98289489746094,38.46220971800151,36.44413159788949,37.476000998781444,14571900
2020-03-09,32.097511291503906,34.636089907016995,31.96966622074269,33.75945889375777,16269500
2020-03-10,34.8095703125,34.91915174381915,32.84628336087072,33.79596471502891,9931300
2020-03-11,33.47636795043945,34.343868638539,32.93760465853939,33.448974328563125,10566100
2020-03-12,30.389892578125,32.43536772476994,30.07028871931523,31.321314016768792,12437100
2020-03-13,33.87815856933594,33.94207934719565,31.211739025984638,32.252738532181276,10537300
2020-03-16,31.275651931762695,32.84628432595008,28.88317793734547,30.042890402273,9270100
2020-03-17,32.882808685302734,34.05165296125016,30.380758428371884,32.03357519183375,8886000
2020-03-18,29.275842666625977,31.73223609131809,26.53636730552119,30.545131552931366,8937100
2020-03-19,28.91057777404785,30.70949987703587,27.504315572137376,28.983630333345666,6826300
2020-03-20,28.737077713012695,31.03823771883695,27.650421095273185,29.705024573297873,9584800
2020-03-23,25.98847007751465,28.380944273012048,25.86976033020731,27.71433949893253,7299600
2020-03-24,29.641101837158203,30.006366356505243,27.394734448409565,27.72347181913778,10167900
2020-03-25,30.34423828125,32.36231651610963,28.88318521190828,29.905922882960652,7815300
2020-03-26,32.828025817871094,32.99239451161607,29.686760544896718,30.618181981644646,8622700
2020-03-27,30.89212989807129,31.77789059110259,30.262048789700163,31.166076540074997,5997000
2020-03-30,30.700366973876953,30.86473567107716,29.31236657719789,30.399026684623816,6377800
2020-03-31,31.138689041137695,33.448981345327766,30.95606021242334,32.11576790513029,8274600
2020-04-01,29.69589614868164,30.60905407397903,29.44934309084082,29.57718464303509,7712600
2020-04-02,29.68675994873047,31.366970519498903,29.120603061323276,29.659366328130023,6649100
2020-04-03,29.102338790893555,30.563391565946162,28.782733224208574,29.668497372596395,5357100
2020-04-06,32.316654205322266,32.535813611523814,30.572522934749543,31.038235366645107,7307400
2020-04-07,34.024261474609375,35.38486826445088,33.932947078908185,34.28907809893209,9583400
2020-04-08,35.485313415527344,35.777523639031195,33.942074471513216,34.47170767875184,6819700
2020-04-09,37.23857879638672,37.94171081154125,36.40760523000791,36.70894901511172,9293500
2020-04-13,34.992210388183594,36.90984058146449,34.66347298741065,36.71807825882059,5924600
2020-04-14,35.09265899658203,36.56284379894194,34.836975894752825,36.03321053552888,4801400
2020-04-15,32.48101806640625,33.91467533065577,32.41709730813424,33.869018143807196,5471800
2020-04-16,33.0745735168457,33.16588789488057,31.80528485169183,32.53581032623144,5324800
2020-04-17,35.028743743896484,35.394004877895156,34.0881920566585,34.23429720694228,7130800
2020-04-20,36.2706298828125,37.11986693777894,35.028734684864986,35.50357717134025,7998800
2020-04-21,35.67707443237305,36.014941837949195,34.95567894516894,35.19310192032446,5031200
2020-04-22,36.4076042175293,36.89158026953192,35.89623802685305,36.544579294843814,3728500
2020-04-23,37.622108459472656,38.334370549995725,36.535448263148204,36.672423349827795,5083600
2020-04-24,38.261322021484375,38.571795884295206,37.45774199713494,38.07868972275659,5332200
2020-04-27,40.01457977294922,40.44376511001416,38.40742336656601,38.5809221173224,5664900
2020-04-28,42.37965774536133,42.91842104246528,41.09210525342421,41.09210525342421,9603400
2020-04-29,43.9868049621582,44.86343900604566,43.42978168837936,43.73112191954364,8298100
2020-04-30,42.93667984008789,43.92288844503936,42.49836451750718,43.000600606917125,6973100
2020-05-01,41.156028747558594,42.75405516859047,40.918609211996305,42.02352950137441,4583100
2020-05-04,40.83641815185547,40.88207534541863,39.8410760051281,40.64465236541728,5797700
2020-05-05,40.80902862548828,43.073659984188616,40.54421546028916,41.98700324858883,7990800
2020-05-06,40.215476989746094,41.62174107001641,40.04197474970244,40.909475499657304,5608300
2020-05-07,40.87294387817383,41.366049953736244,40.50768282782522,40.598997219557184,4262900
2020-05-08,42.854496002197266,42.96407396327297,41.128628310717374,41.356917761620444,4776600
2020-05-11,42.187896728515625,42.57142138403564,41.10123657103354,42.07831875314149,4656800
2020-05-12,41.71304702758789,43.42978460294471,41.68565340930372,42.443572543669376,3936700
2020-05-13,40.08763122558594,41.402577282679594,39.61278872300248,41.20168143989638,4420900
2020-05-14,41.320396423339844,41.3569235766412,38.197397967916274,39.17447667649062,7872700
2020-05-15,41.50303649902344,41.85916760202607,40.544221187072885,40.872955178244894,2926700
2020-05-18,43.92289352416992,44.36121238085724,42.991475533116954,43.05539630733783,11273800
2020-05-19,43.63068389892578,44.66255331432952,42.717525987380775,43.648947475167205,6162300
2020-05-20,44.62602233886719,44.899968992178295,44.251627766543855,44.406866409586584,5417000
2020-05-21,44.62602233886719,45.539180172184665,44.11465618159865,44.59862871856229,6392300
2020-05-22,44.46165466308594,44.589499688736225,43.557630338222474,44.279025878998496,2958700
2020-05-26,45.995758056640625,46.68062641625942,45.867916520192416,45.97749448237365,5998400
2020-05-27,45.1647834777832,47.237652080030124,44.98215122301659,46.54365369202163,6723600
2020-05-28,46.3958854675293,46.937936546842025,44.31955629361518,45.71602342555059,7270500
2020-05-29,46.60719680786133,46.71744348409932,45.41284788536024,46.129456537925165,6564700
2020-06-01,46.744998931884766,46.94711721594286,45.982451095964464,46.24888372572057,5492800
2020-06-02,48.371150970458984,48.371150970458984,46.6898728644621,46.809308782978306,7516200
2020-06-03,50.144309997558594,50.5944859586195,48.93158257068537,49.023457719141675,6853100
2020-06-04,50.51179504394531,50.57610588911699,49.684939818304514,49.74925066347619,3941900
2020-06-05,51.57752990722656,53.901916959651295,51.44890819748146,51.53159408298599,11223800
2020-06-08,52.404380798339844,52.59731333363741,51.28352863287709,52.01851222306652,7314600
2020-06-09,51.384586334228516,52.43193832312055,50.80578525969629,51.393772095237225,6118500
2020-06-10,49.31745147705078,51.45809163092672,49.26232638765039,51.384595016404774,8753700
2020-06-11,45.91814041137695,47.93015852588225,45.14640681182952,46.965492402617464,8205800
