Price,Close,High,Low,Open,Volume
Ticker,DLR,DLR,DLR,DLR,DLR
Date,,,,,
2019-12-30,99.28487396240234,99.31844243453882,98.30302016190298,98.96598308090286,694400
2019-12-31,100.48491668701172,100.51848515816488,99.0666855953452,99.36879543319243,1129600
2020-01-02,99.02471160888672,101.0052063532669,98.57154690610173,100.71149026883137,1071900
2020-01-03,100.65275573730469,100.85416015507825,98.25266455018897,98.37854471224657,869400
2020-01-06,99.74642944335938,100.40939234236826,99.06668551005396,100.2583374235747,1151000
2020-01-07,98.76457977294922,99.46949848823166,97.98413039386853,99.34361831692223,1006400
2020-01-08,99.62055206298828,99.82195649283454,98.38693792543357,98.89045220131493,2553900
2020-01-09,99.62894439697266,100.42617478916044,99.08346793796093,99.2764850490074,980000
2020-01-10,101.01361846923828,101.26537241495282,99.40236376501976,99.91427177793044,2048800
2020-01-13,102.3563232421875,102.54933395627049,100.50170835007232,101.21502078511178,2072100
2020-01-14,101.3324966430664,102.96891949368123,100.68632122071692,102.35631254038678,2408200
2020-01-15,101.53392028808594,102.31436973449335,101.22342309493948,101.5087455321586,1443700
2020-01-16,103.78294372558594,104.05148509222182,102.4654116451331,103.09480607342327,2232100
2020-01-17,104.42913055419922,104.71445296870374,103.34657131778268,103.908828830505,1355000
2020-01-21,105.51167297363281,105.57880350588447,103.89203123656378,104.4207201922796,1286400
2020-01-22,105.97323608398438,106.72011695463321,105.57881455402868,105.82218116618286,1648000
2020-01-23,106.66976165771484,107.01382726136758,105.78021963592252,105.83896285618181,1258900
2020-01-24,107.63484191894531,108.39012296761476,106.55228906243474,106.94671062222513,1916300
2020-01-27,108.27263641357422,108.6502705350346,107.01384106946581,107.01384106946581,1527000
2020-01-28,108.94398498535156,109.35518114715273,108.36494006642253,108.36494006642253,1678100
2020-01-29,107.10614776611328,109.46428329353654,106.99705503451878,109.27965989966019,1895900
2020-01-30,105.52006530761719,107.66840250511764,105.33544192944996,106.75367933216113,1594700
2020-01-31,103.2123031616211,105.85576131346774,102.71718256687107,105.41099022936162,1923000
2020-02-03,103.33818054199219,104.48787675663436,102.985721171967,103.53119766511934,1396000
2020-02-04,104.89067840576172,105.30188737831124,103.49762205726806,103.75776970732618,1222500
2020-02-05,103.94239044189453,105.02494960685016,103.60671213917068,104.99977485458881,1748300
2020-02-06,104.07665252685547,104.34519387460901,103.44725814282081,104.01790930711346,1127800
2020-02-07,103.45565795898438,104.30324423882176,103.0948049014323,104.21932626317664,922800
2020-02-10,105.80541229248047,105.83058704791893,103.30461534423935,103.88366032945147,1854200
2020-02-11,105.33544158935547,107.11453202477735,105.15921192963687,106.1075035685194,1869900
2020-02-12,106.61943054199219,107.32434930666764,105.14244966036925,105.20119289075888,1829700
2020-02-13,106.18304443359375,107.16489829243272,106.09912644953201,106.14947595946269,1610100
2020-02-14,110.35381317138672,110.63074823154203,105.0668978880951,105.66273019419798,3785900
2020-02-18,111.78044128417969,111.80561603541555,110.0768814902232,110.38737862550678,3167800
2020-02-19,111.11748504638672,112.22521251814197,110.8153752258968,111.64616762844783,2250500
2020-02-20,114.38195037841797,114.4322998840397,111.51191331241705,111.9315095993481,3939700
2020-02-21,115.91767883300781,116.19461392975929,114.15536923733958,114.57496554058793,3346800
2020-02-24,113.51760864257812,115.16241928731063,113.01408786272471,114.95262109654927,3314000
2020-02-25,112.0657730102539,115.12043353044554,111.54547770125741,114.44908970144206,5027100
2020-02-26,109.4139175415039,112.4098279790118,109.36356804247936,112.03219393126687,2665400
2020-02-27,103.3801498413086,108.55796721759734,103.20392014418161,108.44048075284601,2844900
2020-02-28,100.79542541503906,101.65139906450493,96.84282897001873,101.65139906450493,5045700
2020-03-02,109.50627136230469,109.74124431820977,101.21504253087637,101.45840920735887,6312700
2020-03-03,108.75096893310547,111.79724225198463,106.7117370058005,109.70764801105038,4144400
2020-03-04,113.27422332763672,113.31618552226674,109.55660593558149,110.5132850698516,2950400
2020-03-05,108.9859390258789,112.7119562242103,107.45861515024836,111.29371867929865,2408700
2020-03-06,107.6180648803711,108.36494579081976,104.11023311310691,105.92289222331817,3622100
2020-03-09,101.265380859375,104.02632559123884,99.86393059685045,101.1143259183373,2708400
2020-03-10,112.82943725585938,113.88682807786947,103.56475701743327,104.36198738930314,9935000
2020-03-11,114.96937561035156,115.97640407658318,108.33135968255368,109.93422047413178,34673400
2020-03-12,107.72714233398438,109.69924992632365,104.58017670941778,107.40825147348298,9406200
2020-03-13,120.28987121582031,120.51645681643303,107.10615547037536,111.92311948218064,6545900
2020-03-16,108.52476501464844,118.09077585337614,107.84812783222527,112.00100894680796,6914100
2020-03-17,116.92359924316406,118.20075481001186,109.0576430324078,111.37513078822309,8061000
2020-03-18,116.16234588623047,118.13306443750112,108.54168092158928,111.48506579244987,7986500
2020-03-19,105.95352935791016,116.17081738625131,102.67182253333043,116.0439394437021,4429300
2020-03-20,102.51111602783203,109.6412277708655,100.65881554988437,106.52867224394433,4732000
