Price,Close,High,Low,Open,Volume
Ticker,HCA,HCA,HCA,HCA,HCA
Date,,,,,
2019-12-30,141.5714569091797,143.48081516664232,141.3411761458406,143.29852603291894,754800
2019-12-31,141.82090759277344,142.09916532722863,141.3411670138706,141.4275168043482,811600
2020-01-02,141.5138702392578,142.62685716903403,140.1514088579039,142.15672080817356,780100
2020-01-03,141.94566345214844,142.34864383443715,138.93289280697073,139.39343972379746,1191700
2020-01-06,142.48297119140625,142.7420352383733,140.27616130208804,140.82307266340487,1059600
2020-01-07,142.2910919189453,142.7612284263229,140.58321622974424,140.58321622974424,817600
2020-01-08,143.23135375976562,143.68231109939944,141.72497587416524,142.82837340870333,883200
2020-01-09,141.4467315673828,143.67273521206513,141.39875457425174,143.35610462602725,953000
2020-01-10,142.1375732421875,142.5501578550303,141.5139161917678,142.06081297373944,940500
2020-01-13,141.19725036621094,142.52132440533236,140.79427003773742,142.43497461505672,1869400
2020-01-14,141.91685485839844,142.36781215249852,140.51600599237102,140.62154950036296,1182100
2020-01-15,141.2836151123047,142.70364327351,141.0053719895669,142.12796330354564,1168300
2020-01-16,141.78256225585938,142.5693293446099,140.91902026222772,141.90728487498265,1007500
2020-01-17,142.38699340820312,142.82836116850658,141.59063695635234,142.27186035791533,1685400
2020-01-21,141.2740020751953,142.2814455152167,140.93817783484175,141.7537426239749,1501100
2020-01-22,141.17807006835938,142.36783208497783,140.65035245451563,142.03200779238946,1443900
2020-01-23,140.74630737304688,141.33159152311416,139.6524993300302,141.17807100887833,1084000
2020-01-24,137.6375732421875,141.36995447115316,136.6588983328472,141.0917113689644,1161200
2020-01-27,135.86256408691406,136.8987910541656,135.08537190069026,135.76661009636098,1696300
2020-01-28,139.60447692871094,142.00317928143792,138.3283655201981,141.52343881089254,2380000
2020-01-29,139.35504150390625,141.25480999986482,138.798540703975,139.93072138483802,2031300
2020-01-30,137.6375732421875,139.36464230557596,135.1045434960581,138.9712515054806,2193800
2020-01-31,133.1759796142578,137.39769059824502,132.39880226570506,136.40942623644094,3039700
2020-02-03,136.05438232421875,136.4957352998758,133.4637870550756,134.06825001221594,2073600
2020-02-04,138.52029418945312,139.27829252536725,137.1194598560631,137.37850923520443,1504100
2020-02-05,144.9200439453125,145.12154145296128,138.99045675009012,139.04802328355484,2331800
2020-02-06,143.21214294433594,145.77395571068035,142.68444005459295,145.49571263500715,1269900
2020-02-07,140.01708984375,143.02987498187966,138.4339516594086,142.48296364951187,2395800
2020-02-10,140.73670959472656,140.80388031295706,139.37424791006015,139.82520529082217,1260400
2020-02-11,143.50001525878906,143.576775516642,140.81346479602587,141.04374556958462,1232400
2020-02-12,144.45947265625,145.754778002683,143.4424250286305,144.03729862806384,1776900
2020-02-13,144.76654052734375,145.81237161110104,143.2793416119932,143.88381950467976,1544800
2020-02-14,143.50961303710938,144.87207461202266,141.91687069891384,144.72814364477566,1822100
2020-02-18,142.223876953125,143.48079483042693,140.86141557098372,142.97227102725165,1401700
2020-02-19,143.99896240234375,144.13328920538464,142.0512164379891,142.22391605310304,1131900
2020-02-20,142.10873413085938,143.62471589583365,141.04370961548904,143.62471589583365,801200
2020-02-21,142.00323486328125,143.1066325212124,140.8518602114133,141.2452510649628,800600
2020-02-24,134.3465576171875,137.44567769912027,133.81884004521237,136.02564966586786,1515900
2020-02-25,127.6109848022461,135.21966280849455,126.78583048031004,135.0661569610912,2268400
2020-02-26,123.16859436035156,130.74850446473903,123.00548431665551,129.04062913601445,2715300
2020-02-27,122.19953155517578,128.45535335176984,120.08867575107993,121.6142474119903,3293100
2020-02-28,122.27655029296875,122.7771675247509,118.3678547555395,118.41599427660263,4689100
2020-03-02,130.01690673828125,130.49827254279904,120.35108050215672,122.3343052663511,3978900
2020-03-03,123.97095489501953,133.53087283609878,122.11287522844289,129.79548413753815,3250600
2020-03-04,130.19020080566406,134.7824350265892,128.70760048402423,130.45014247216312,3194200
2020-03-05,123.06599426269531,127.69673136251808,120.32221040256186,126.46443596884832,3389800
2020-03-06,122.45947265625,122.6809041851416,117.69395354874219,118.96475913374827,2732900
2020-03-09,112.3892822265625,116.81784601112807,106.3914686159288,114.96940314636211,3248400
2020-03-10,116.3653793334961,117.70357576415964,109.15451385308928,116.32686918537617,3247100
2020-03-11,108.39395141601562,114.17034123438195,106.51662766307037,113.15947742320354,4054800
2020-03-12,97.7269058227539,104.95701625969384,97.24553992892011,100.11447654293558,4602200
2020-03-13,100.39366149902344,104.47564189099455,97.30329359270253,103.13744540229341,6110000
2020-03-16,81.30268859863281,92.9517479689797,80.744309798507,89.53404751816555,5711600
2020-03-17,74.57318878173828,84.14274322680821,73.4564239462601,83.11262070961696,7008100
2020-03-18,65.59089660644531,71.44430608163356,56.2042678454799,70.2986532085626,6345800
2020-03-19,80.3880844116211,84.72037638590008,64.30084109520554,64.50301383926484,5333900
2020-03-20,75.57443237304688,85.15360907975963,72.22412309461943,82.02473130635325,5947500
2020-03-23,75.82474517822266,82.37131585024898,72.53219742386102,77.89461965017325,5829200
2020-03-24,83.5169677734375,88.62907030920817,79.85858469087125,83.09336351154516,4505300
2020-03-25,89.1489486694336,92.30670728314526,82.23653517915132,84.00796522163562,5038000
2020-03-26,90.92037200927734,99.87377122176105,86.81913345597788,91.5461416550245,4787300
2020-03-27,84.07536315917969,88.81200147503372,82.79492820436748,87.03094925592855,3708200
2020-03-30,87.57006072998047,88.96602588170036,82.8141645321534,85.66385637805787,3361900
2020-03-31,86.50144958496094,88.41728378429728,84.3353030644107,86.27039601271922,2929400
2020-04-01,80.60953521728516,83.17039793411688,78.9632574088912,80.79244926094847,3224500
2020-04-02,80.7731704711914,85.52905885999373,78.70329637578305,79.54087538510404,2180800
2020-04-03,78.78031921386719,81.20639932527328,76.76820658993117,80.21478707051091,2080800
2020-04-06,90.09242248535156,90.67968933327631,81.87069395946415,83.3244206932663,3918600
2020-04-07,94.93497467041016,98.78590151688842,94.17441573682349,95.80143467987978,4568000
2020-04-08,104.03279113769531,106.69956221337664,95.54149734890314,96.27317553962116,4130300
2020-04-09,104.03279113769531,107.99924861414944,101.6933526782801,104.67782699605667,3551600
2020-04-13,99.74861907958984,103.95575870682407,97.87129544624611,103.1663191090771,2817100
2020-04-14,108.34581756591797,108.51910955159178,101.29862239028175,101.37564268281663,3677100
2020-04-15,105.39984893798828,107.2001521607033,102.53090580659763,102.53090580659763,2513200
2020-04-16,104.2830810546875,106.62251901168068,102.64644036002609,105.44798534713267,2592500
2020-04-17,111.34954071044922,111.75388622082906,107.07501004340736,108.5961277387135,2362100
2020-04-20,106.3144760131836,110.63713986238942,104.63932468981584,108.39397294131926,2835200
2020-04-21,101.539306640625,110.03059936099693,96.81229079077924,99.94116860212465,4039600
2020-04-22,100.62471008300781,104.85110883675166,100.45141809004096,104.29272270996294,3110800
2020-04-23,100.83649444580078,105.41909840571583,100.71134199602415,101.56817243655726,2897000
2020-04-24,103.81136322021484,104.5622927872548,100.39366267323437,102.05919178210156,2366100
2020-04-27,106.75730895996094,107.73929932748688,104.62967295706723,104.8029649428036,2328700
2020-04-28,105.18806457519531,109.50109835399216,104.83185121221237,107.49862205779493,2354100
2020-04-29,109.10637664794922,111.64798754624191,107.25793369374716,108.39394995815643,2838200
2020-04-30,105.7849349975586,108.11475081909232,104.99549545821333,107.69114660698465,2205400
2020-05-01,100.95203399658203,104.57190679149491,99.83526183892609,103.37811434467807,1850700
2020-05-04,99.74861907958984,100.4321576164755,97.67874472419867,99.43091589700583,2459700
2020-05-05,102.49240112304688,104.44674501705632,101.0097936374048,101.66445139281741,2144600
2020-05-06,95.77255249023438,102.93527132432858,95.3585775665454,102.93527132432858,2694500
2020-05-07,98.71849822998047,100.91352508241629,96.6389944676355,97.27440084337172,1830200
2020-05-08,103.89799499511719,104.09054572675981,100.2011090882915,100.60545460715193,1694500
2020-05-11,100.25888061523438,102.62719976224068,99.20950656729788,101.84738942037741,2764200
2020-05-12,95.83992767333984,101.05793085342293,95.73402661641435,100.99053993947568,2822500
2020-05-13,96.57160949707031,97.50546037312786,94.68465634377425,96.38869547814267,4652700
2020-05-14,95.47408294677734,95.71476582645263,92.28744397029534,94.99271718742678,3935800
2020-05-15,95.06011199951172,96.37905687845942,93.49086220387582,94.74241616755228,4201400
2020-05-18,101.6644515991211,104.2927119983334,98.58371353508002,98.69923662181974,5842900
2020-05-19,99.98932647705078,102.54056724518708,98.8244218671599,100.48994378693895,4048300
2020-05-20,102.45390319824219,103.22409147707465,100.40328737256097,101.91477581009535,4987800
2020-05-21,104.02316284179688,104.39862761617701,101.71260529903148,101.92440744766847,3738000
2020-05-22,102.71385192871094,104.73558711837741,101.56819880504048,104.44676465768494,2122500
2020-05-26,105.00514221191406,109.37594484426972,104.91849988785431,106.81507509451706,2118200
2020-05-27,109.42406463623047,109.71287967608248,106.14114673098645,106.86319534820404,2074800
2020-05-28,105.67904663085938,111.19550204190739,105.34209203307759,110.71413623220216,1724100
2020-05-29,102.916015625,105.81383996982554,100.6247095799967,105.13992340274118,3055400
2020-06-01,104.7740707397461,106.32406903986443,102.57904409847649,102.85822976937722,1339100
2020-06-02,104.95698547363281,105.82344529739512,103.8113399769912,105.48649073955936,1185800
2020-06-03,103.91725158691406,108.99084390332155,103.79209177767571,105.65979343807058,2788500
2020-06-04,102.9737777709961,104.56228648361747,101.44303795278292,103.54179327147536,2191400
2020-06-05,111.25326538085938,113.13059647598776,107.075013610938,108.31693830139108,3081700
2020-06-08,113.64083862304688,114.27623765781368,112.0523300185411,113.12096267911448,1839000
2020-06-09,111.67686462402344,112.53369515293062,108.01848163797143,111.60947370641476,2589600
2020-06-10,105.98712921142578,111.8597984510493,104.65856211110076,110.97407970577267,3296400
2020-06-11,97.341796875,102.97377550965007,97.03372304347386,101.08682237342003,4087900
2020-06-12,96.80266571044922,102.6849563979,94.82906298442481,100.93277782754006,3666500
2020-06-15,99.68123626708984,100.45141718271726,93.46199066799178,94.14552926044821,1950000
2020-06-16,100.3744125366211,105.27471353183644,99.27689894863408,105.024401224646,2368500
2020-06-17,95.40670013427734,101.41414326438654,94.87720216107262,100.69209456405892,2494200
2020-06-18,96.36944580078125,97.90981511730035,93.12504453459482,94.52100262095833,2789900
2020-06-19,93.89520263671875,99.49829970973094,93.7989309550979,98.11197133526197,2713100
2020-06-22,94.65576934814453,95.42595755583415,93.39459331948544,93.7219185334651,5367700
2020-06-23,95.38744354248047,97.69800072678491,93.50049058973183,96.89893177909875,2175000
2020-06-24,90.23682403564453,94.22253173917196,89.57253697003722,93.79892754138663,3410000
2020-06-25,89.87100219726562,91.28621896314932,87.8107569589911,89.5725577224406,4443400
2020-06-26,89.03340148925781,91.06475794896731,88.03215997000781,89.82284092913949,2428800
2020-06-29,92.61476135253906,92.63402009452216,88.69644469558682,90.15980059386767,2540700
2020-06-30,93.44273376464844,93.99149052406662,90.26572365303889,92.61478393885122,1841200
2020-07-01,94.42472076416016,96.51384665461791,92.43186656843577,93.10577577662876,2240100
2020-07-02,94.31881713867188,98.3719163410269,94.0877636085657,96.46570451873787,1546000
2020-07-06,95.51258850097656,96.33090878355272,93.68339723429806,95.97470283958118,1361500
2020-07-07,92.65330505371094,95.4163479245188,92.57629209305566,94.4343573892926,1280500
2020-07-08,92.0660171508789,92.63403259510417,89.87099035230575,92.63403259510417,1600800
2020-07-09,90.8240966796875,92.4029832795919,88.6290697812472,92.19118114990742,2934100
2020-07-10,93.11539459228516,93.40420964373965,89.77471501387836,90.33310106310584,1693900
2020-07-13,93.2212905883789,95.99395459517133,91.45949022440016,91.45949022440016,2607800
2020-07-14,95.27191925048828,95.43558186138486,92.162300263216,92.95173988966579,1826400
2020-07-15,101.71260070800781,102.45390084971709,97.42844044092915,97.92906501421248,3859000
2020-07-16,103.14704895019531,104.28307237685749,99.59456748091836,100.93276363456386,2901600
2020-07-17,102.10730743408203,104.2927121998779,101.3660073608536,103.41662295009445,1581400
2020-07-20,101.05792999267578,102.35761609062203,99.32501029870834,101.66444821303506,3112900
2020-07-21,105.25545501708984,106.10265624064263,102.24210019564536,102.30949111859775,2483300
2020-07-22,117.85761260986328,119.74456585499136,110.81041688007475,111.0029676265531,5347900
2020-07-23,122.23802185058594,122.72901698071924,119.32094653019483,120.34143958747791,4157800
2020-07-24,120.83244323730469,121.79517482188511,119.43647803262763,121.79517482188511,1646100
2020-07-27,120.65914916992188,120.96722297785314,119.00324969789423,120.34144598969493,1655500
2020-07-28,119.34019470214844,122.0069650445393,118.96473000839148,120.52435766749923,1530900
2020-07-29,124.94331359863281,125.91566728631545,120.2259269979224,120.51474943380536,2429200
2020-07-30,123.27777862548828,123.69174614311588,121.05386373754061,123.3355401684021,1544500
2020-07-31,121.92031860351562,123.11410362678701,119.77343143598249,123.11410362678701,2549200
2020-08-03,121.17902374267578,122.55573016320245,120.15852329745688,122.37280881692514,1125100
2020-08-04,123.60511779785156,123.99020458754244,119.72531036574442,120.24518634589874,2115200
2020-08-05,125.54983520507812,126.97467390210161,124.36566472507376,124.82778648366421,2232500
2020-08-06,127.38865661621094,128.01442630105532,125.67498079608981,126.0408235171416,1687600
2020-08-07,125.41503143310547,128.04328420621093,123.84577445214704,126.59918701591532,1372400
2020-08-10,127.53303527832031,128.02402302522682,125.46316855436906,125.46316855436906,1052200
2020-08-11,126.68584442138672,129.93988184553865,125.9830544849099,128.93863278112974,1493000
2020-08-12,127.20571899414062,128.1491917597956,125.49205808320694,127.91813090917688,1252000
2020-08-13,125.80010986328125,126.46439687752465,124.77961693304108,126.46439687752465,819600
2020-08-14,129.4199981689453,129.88211990037684,124.85665991947333,125.3957872493588,1295100
2020-08-17,129.2948455810547,130.4308617190671,128.36099483500587,128.92900290401207,1365400
2020-08-18,128.91940307617188,129.58369028724277,127.49454960977184,129.37188814197032,898400
2020-08-19,128.08180236816406,130.49826802485958,127.3212508870089,128.82310979469008,1415900
2020-08-20,126.26223754882812,128.70758392473502,125.28988396682351,127.25384987516367,1245400
2020-08-21,127.57157897949219,128.0240640774694,125.43431331801872,125.8771763869337,1194600
2020-08-24,129.3718719482422,130.03615907616296,127.08056613080363,128.52466347319913,3161400
2020-08-25,129.1119384765625,129.72808612733618,126.84951328771915,129.4874032217196,994300
2020-08-26,126.72437286376953,128.81349879915138,125.05883651827564,128.61131868728637,1014900
2020-08-27,129.41036987304688,132.83769175282947,126.98428231596365,127.61968864831452,1998400
2020-08-28,130.921875,131.037398090657,127.43677663395772,129.40075731583673,1090600
2020-08-31,130.6619110107422,132.72215568579625,130.0168827146863,130.51750717211618,2449000
2020-09-01,129.19862365722656,129.5837252480377,127.6293805813075,129.3430422625771,1354200
2020-09-02,133.02059936523438,134.28177518285338,128.00477686232864,129.67029811604652,2198000
2020-09-03,131.50918579101562,134.1759426252869,129.29489944300252,133.59831228892907,1860100
2020-09-04,131.9423828125,133.99299135027155,129.82437600427193,131.54765928870606,1123400
2020-09-08,127.5908432006836,131.20108742017806,127.45606133742733,131.20108742017806,1418800
2020-09-09,128.8231201171875,130.29609837083558,127.81224894367313,128.66907952710318,1953900
2020-09-10,129.6510467529297,131.36470761349688,129.10229744774952,129.7858285726333,2093100
2020-09-11,129.0060577392578,130.113193403509,127.25387885900382,129.6125834578259,745600
2020-09-14,130.6619110107422,131.23955574547787,128.86160793533074,130.0361414565417,1658200
2020-09-15,130.73895263671875,133.58862991178523,129.88212211068696,131.85572480483967,1320500
2020-09-16,132.8665771484375,133.99297130947778,131.6246599011729,131.80758124777324,1327200
2020-09-17,132.02902221679688,132.7414489495688,129.17932997582886,131.20107238308017,1381100
2020-09-18,127.3212661743164,131.78834063433982,127.1672255780798,131.11443138845434,2070700
2020-09-21,120.77467346191406,121.27529799545773,114.68058815845461,121.22715847855811,3631400
2020-09-22,116.15357208251953,121.14052219628022,115.11382016419273,120.78430885063324,2639200
2020-09-23,111.99456024169922,117.53988854595346,111.74424798819025,117.2510734950357,2260100
2020-09-24,112.59143829345703,114.70945185576548,110.11721880132602,111.71535650775124,1290400
2020-09-25,116.05729675292969,116.90449791258328,111.42655278483697,111.76350737418446,1439500
2020-09-28,116.83709716796875,119.24392595382001,116.31722126881785,117.9153591082512,1119300
2020-09-29,115.70108032226562,117.59766268948763,113.39052308633494,117.45325148504341,1132100
2020-09-30,120.03337860107422,121.6411386426644,116.0572996571577,116.5867976407942,1899200
2020-10-01,119.9178466796875,121.0153601246319,116.95263891083485,120.09113866283973,1847900
2020-10-02,122.3150405883789,123.40291719921667,116.93336765863376,116.97187780022192,1489900
2020-10-05,125.31878662109375,125.90605355973324,122.16102774483822,123.40294520386519,1481700
2020-10-06,123.58585357666016,127.46566083689756,123.43182768167857,125.91566233835745,1257600
2020-10-07,124.259765625,127.40788715113048,123.76876314303817,125.15509889661949,1001500
2020-10-08,126.91693878173828,127.54270859454866,124.14426641333878,125.0492366830315,1135500
2020-10-09,128.967529296875,134.7824215933952,128.2358438922638,134.30105580199023,2754300
2020-10-12,125.37652587890625,130.24794518064303,125.0492006769193,129.96875949427007,1332500
2020-10-13,127.98555755615234,128.70760634812092,123.53774169846453,125.42468764834167,1435700
2020-10-14,129.64146423339844,131.6631921450522,127.3212771320548,127.67748318765358,1197100
2020-10-15,132.6547393798828,133.3479070911783,127.11903440419289,127.56189726589817,1327800
2020-10-16,130.08428955078125,134.2817999292168,129.699202785468,132.65478116904922,1197600
2020-10-19,129.32376098632812,131.69207292430494,128.4284127974922,129.54518518115205,894500
2020-10-20,131.3358154296875,132.83767405874642,128.7268215700087,129.32371033537433,980900
2020-10-21,130.9122314453125,133.71378376837686,130.536766730168,130.536766730168,1257300
2020-10-22,130.1709747314453,132.9628911094947,129.4200304033622,130.7197242252841,1485200
2020-10-23,131.49952697753906,132.7029416720918,129.77624359859269,131.71132913899,897200
2020-10-26,130.38272094726562,132.3274427047206,125.62683964218284,129.4873876969739,1966800
2020-10-27,125.69422912597656,130.35384631378088,125.54018855197039,129.68957388234986,1451000
2020-10-28,121.83368682861328,125.23212819890979,120.8709552293198,123.2681475098848,1342600
2020-10-29,120.79527282714844,122.59660111755905,119.27328917541573,121.5369949439221,1343900
2020-10-30,119.38888549804688,122.02826975477323,117.43342892996083,120.40995960372948,1718800
2020-11-02,125.80432891845703,125.93918748232076,120.58334759894746,121.47919797275115,2013000
2020-11-03,131.09271240234375,132.18122301371878,127.4900562382184,127.91388689986634,1656100
2020-11-04,126.96024322509766,133.53944408716472,126.72905084966575,130.9963867513295,2301300
2020-11-05,132.50872802734375,135.33114465580118,128.61708524539006,129.0120186765774,1681800
2020-11-06,133.4142303466797,134.43530441490455,131.34318499686364,132.28719492995143,1004200
2020-11-09,141.91036987304688,147.06390735503797,140.62920613157746,142.2667786520374,3778600
2020-11-10,146.52447509765625,149.25055840024532,141.00488655699104,141.00488655699104,2497400
2020-11-11,140.12826538085938,146.4184791307976,139.46360019620647,146.0620704311633,1456300
2020-11-12,139.28060913085938,142.40164066903475,137.2384608581234,139.29987884054987,2101800
2020-11-13,144.2511749267578,144.4630976951835,139.60815843477695,139.685222595885,1373800
2020-11-16,146.24513244628906,148.2680110156938,144.71350653844033,146.1776958114013,1803800
2020-11-17,147.4106903076172,150.1175038943599,143.66353288816705,144.80021056960874,1587600
2020-11-18,145.68643188476562,148.80744880782382,144.58829357878548,146.52448054766353,1219400
2020-11-19,145.31072998046875,145.6864084273285,142.24749328428325,144.68458943671595,2141800
2020-11-20,141.9296112060547,145.8308964836864,141.61172717766453,145.3781539006895,1337300
2020-11-23,143.91397094726562,145.753838569539,142.79657774649834,143.42270362706142,1243100
2020-11-24,149.3661346435547,149.92483858367365,144.05846926014522,145.44559425651224,2489500
2020-11-25,147.97900390625,149.75144949866717,146.91940519070218,148.28726042614164,1077100
2020-11-27,147.429931640625,149.30832374154872,146.71709951324522,147.86340447953373,753500
2020-11-30,144.59791564941406,146.8616288127616,143.45161046025007,146.8616288127616,1846300
2020-12-01,146.33181762695312,148.0560817622004,145.57081845946988,147.0350076677374,880500
2020-12-02,146.9964599609375,147.73817460504964,144.25110746206752,144.93504238547882,839200
2020-12-03,147.14093017578125,148.412466054828,146.35103400271086,147.6225698817576,906400
2020-12-04,151.88992309570312,152.40047481579387,146.97720586348518,148.00790741143175,1447000
2020-12-07,149.66476440429688,151.8899381910417,148.10425597171886,151.37940111869253,1043500
2020-12-08,153.34449768066406,153.7875981111846,149.30835338890998,149.43358445333098,1367500
2020-12-09,154.0573272705078,155.49261942587344,152.45829401578865,153.02662555507084,1531900
2020-12-10,155.8490447998047,158.1898225436356,153.5371789748834,153.5371789748834,1401600
2020-12-11,151.7839813232422,155.51186886074527,150.91702082019614,154.43300035755658,1153200
2020-12-14,154.9531707763672,159.1723405017967,153.855032522986,157.85263733787397,1833500
2020-12-15,155.03981018066406,157.43838108050141,153.4022382070036,157.13976683041045,1625600
2020-12-16,155.62750244140625,156.58115485928596,153.8069039698069,154.77981140329092,1107100
2020-12-17,158.7003173828125,159.65396949799225,156.63889958411002,156.8026553556798,1371300
2020-12-18,158.30540466308594,159.8851830056126,157.21690844377042,159.12419840278196,3119900
2020-12-21,157.1012725830078,158.30537213011866,153.0555010444116,155.2710471507917,1831100
2020-12-22,157.27467346191406,158.38243918629632,155.93571532876913,157.4962236670943,1813100
2020-12-23,159.76954650878906,160.7328260573291,158.38242160713472,158.59434428369187,1904800
2020-12-24,158.46507263183594,161.0025877490599,158.31069494619604,161.0025877490599,288900
