Price,Close,High,Low,Open,Volume
Ticker,MAA,MAA,MAA,MAA,MAA
Date,,,,,
2019-12-30,110.57842254638672,110.62077611556812,109.72292439220453,109.73140286073763,311100
2019-12-31,111.68803405761719,111.7219091636615,110.23115893227343,110.5869057059741,561000
2020-01-02,109.78221893310547,112.23010523984765,109.02837195073833,112.10305746031726,488100
2020-01-03,111.01888275146484,111.13746499725819,109.28248971167295,109.3417743723219,481300
2020-01-06,111.17981719970703,111.35769704913251,109.01992699287798,110.73937619783815,492700
2020-01-07,109.5196533203125,110.7393637954939,109.11308747008381,110.54453995258622,380800
2020-01-08,110.29890441894531,110.5021937961713,109.26553936924557,109.51116939112745,500600
2020-01-09,110.36666107177734,110.74781732278872,109.77374991192698,110.13796215137293,353100
2020-01-10,112.10308074951172,112.22166300987342,110.18880764360503,110.59538647155694,552900
2020-01-13,113.10254669189453,113.1703098231386,111.94213376501753,111.94213376501753,572100
2020-01-14,112.47099304199219,113.28174364348008,111.64319662397122,113.18786794341382,475500
2020-01-15,112.70145416259766,112.92334935587458,111.8992457420207,111.8992457420207,800900
2020-01-16,114.09251403808594,114.23759233954937,112.63317555768893,112.91480273888898,387000
2020-01-17,114.34851837158203,114.59600177517578,113.79379353550257,114.22904137984445,537000
2020-01-21,115.67985534667969,115.81640422215764,114.4936146627521,114.63016353823006,760500
2020-01-22,115.15071868896484,116.59298509582402,114.82643142389554,116.38817482778363,528800
2020-01-23,116.41374969482422,116.53322666474155,114.78373223079888,115.21896697363779,400700
2020-01-24,116.88313293457031,116.90873421331264,115.94437597397331,116.60150584639122,402200
2020-01-27,116.61007690429688,117.3098801651748,116.11509696850916,116.54180246260013,417600
2020-01-28,117.29280853271484,117.89872304319984,116.35405123503885,116.6698221562671,487400
2020-01-29,116.558837890625,117.59145757118371,116.44789032979925,117.41224861201893,458100
2020-01-30,117.3354721069336,117.48907982200225,115.79932984616086,116.84049221057253,746100
2020-01-31,117.09651947021484,117.89018538478527,116.39671625683597,117.11357831296748,749800
2020-02-03,117.0452880859375,118.23152859808417,116.8319353821556,117.52320908090203,451700
2020-02-04,118.92279815673828,119.29828796382927,117.33545357498107,117.33545357498107,370400
2020-02-05,118.74359130859375,119.66527663705317,118.35101656753969,118.76066317264397,578100
2020-02-06,119.7762451171875,120.39070211002871,118.3425077932183,119.07644181122203,348000
2020-02-07,120.49308013916016,120.73203413568471,119.79327699075529,119.97249899915678,433400
2020-02-10,121.47447967529297,121.64515921617686,120.53573568942443,121.27819885437721,754400
2020-02-11,121.13316345214844,122.19992723762668,120.36508571339279,121.5086663881598,589900
2020-02-12,121.63665008544922,122.15723123628565,120.61255964731653,120.88564435387757,402700
2020-02-13,123.01065063476562,123.20693150203077,121.60252781244438,121.60252781244438,541900
2020-02-14,124.17977905273438,124.19685091190617,122.83993110304287,123.43731595392485,570000
2020-02-18,124.69186401367188,125.01616431463862,123.7360479965277,124.63211900159207,539400
2020-02-19,123.77018737792969,124.76014719194616,123.71045538367943,124.7004021756784,484200
2020-02-20,126.04877471923828,126.09144786437385,123.56534612332625,123.8981758201587,558600
2020-02-21,126.10851287841797,127.05579935211578,125.81834332046334,126.15118602123613,703100
2020-02-24,124.5211410522461,126.71439947490781,124.36752037615413,125.01612075207922,728200
2020-02-25,122.09750366210938,125.22097765806012,121.8414777878139,124.78574278716964,825000
2020-02-26,121.45746612548828,123.8811503670163,121.44039425842989,122.28526285854346,841800
2020-02-27,114.5277328491211,121.23554261489518,114.45945841884667,120.30532791868619,1072800
2020-02-28,110.31188201904297,112.71850687175875,107.27374147006665,112.23205643565043,1818300
2020-03-02,115.55181884765625,115.73957026823894,110.82392867429435,111.12262766758921,993400
2020-03-03,117.14767456054688,119.30680229720355,114.90320055664988,115.78221241677436,1181000
2020-03-04,123.74457550048828,123.8555230800512,119.04228631939563,119.19589402462147,1180100
2020-03-05,123.54828643798828,123.77869798051655,120.78323072950934,122.16575207274106,917900
2020-03-06,122.29376220703125,122.51564431252321,117.63413381558385,120.74909084407236,865300
2020-03-09,114.61309814453125,118.53878087104172,114.38267353190423,116.90023333884368,1198700
2020-03-10,119.53729248046875,119.58849506014117,113.86210116308905,117.09653634726905,1365700
2020-03-11,114.25465393066406,117.45494476285386,112.41128328603872,116.95996488483316,1012400
2020-03-12,100.36965942382812,110.94342026514043,100.23311055052534,107.93941667357429,1357300
2020-03-13,107.52976989746094,108.35757948525826,99.88320926385137,105.84854943746153,1146900
2020-03-16,89.56547546386719,99.22608703508786,89.51427289103843,96.89627881725677,1137900
