Price,Close,High,Low,Open,Volume
Ticker,SYK,SYK,SYK,SYK,SYK
Date,,,,,
2019-12-30,198.0759735107422,200.5432697816623,197.4401734710704,200.21112873290255,705000
2019-12-31,199.2241973876953,199.30011574720788,197.0985267611829,197.8576958763621,879100
2020-01-02,199.70819091796875,200.23012066878232,197.5825344491261,200.17318551050244,1092600
2020-01-03,198.89208984375,199.8220790443147,196.43429227071957,196.43429227071957,801600
2020-01-06,201.3878631591797,202.19448323209755,197.60151561587702,198.52200601251988,1294500
2020-01-07,198.9205322265625,200.0877607626958,196.538653327527,199.3096084052736,1077500
2020-01-08,199.93594360351562,201.18856051031088,198.5409743228003,199.81257444210792,1019100
2020-01-09,200.82798767089844,202.10907229247985,200.50533094373083,201.01777637632344,744400
2020-01-10,198.9490203857422,202.0141648659393,198.76873054568526,201.82436169965013,1232700
2020-01-13,196.3299102783203,199.06291381600602,196.2824594846898,198.80669111436066,1398600
2020-01-14,197.3452911376953,198.4745388748664,195.10574991583061,195.855420285207,1680500
2020-01-15,196.19708251953125,198.73079884881568,196.0547445998893,197.82929157119744,1323600
2020-01-16,198.7687225341797,198.77820690013243,196.2160235379338,197.12701498762985,2617100
2020-01-17,201.3403778076172,205.4778344589135,198.512487574192,199.2242059352181,3742000
2020-01-21,203.69381713867188,203.69381713867188,200.79950698986391,201.23601953587044,1605100
2020-01-22,205.99032592773438,206.75897961302303,204.471987292138,204.82309712864014,1528000
2020-01-23,205.18373107910156,207.25245288289685,204.1683389145207,205.90493405584675,1415400
2020-01-24,203.2952423095703,206.47425699535177,202.5835239005101,205.95232726605136,1558900
2020-01-27,203.64639282226562,206.09469172267825,201.56817248312356,201.56817248312356,1553600
2020-01-28,203.2667999267578,204.42452984072688,202.66896623540978,203.91209889386428,1702900
2020-01-29,199.9264373779297,205.34499319430623,197.5350739677825,205.34499319430623,2871100
2020-01-30,202.91567993164062,203.21933894568627,198.6643523753575,199.28116925010434,2130700
2020-01-31,199.9454345703125,203.07699866060128,198.67383440902734,202.555068898895,1511200
2020-02-03,200.8374481201172,202.11854706908045,199.8220707030438,199.8220707030438,1148500
2020-02-04,205.30706787109375,206.5976513226171,202.98210920095946,203.6463913809692,1248900
2020-02-05,206.61660766601562,207.6130163963251,205.401942664479,206.5312049268331,1160200
2020-02-06,207.1005859375,208.15392982958485,206.08519399181907,207.54659732747865,790200
2020-02-07,203.8456573486328,207.82179352324385,203.64638428553286,207.05313989138816,942200
2020-02-10,206.1421356201172,206.37937511244618,203.85515791882736,203.9025942333336,650200
2020-02-11,207.00567626953125,207.8122962786254,205.6391745731568,206.92975789973838,834500
2020-02-12,205.0508575439453,208.07803604558686,205.01289111310584,207.37580187456365,871500
2020-02-13,206.31295776367188,207.09109577715753,204.36759101003332,205.3165489893741,1055200
2020-02-14,210.23211669921875,210.30803506516685,205.46835869554312,206.67352474510668,1447400
2020-02-18,210.6022491455078,210.6212323605388,207.6130371359198,209.71972512589724,1533300
2020-02-19,213.61044311523438,214.74918977405528,210.71611843410045,211.2095806289043,1243700
2020-02-20,213.01258850097656,214.4170421882357,210.93436830972377,213.61043663269282,1006300
2020-02-21,212.8512420654297,213.03154636814276,210.93434321335266,211.97820260803502,1733000
2020-02-24,204.5478515625,208.6758092011353,203.29522034750124,207.91665456410803,1617000
2020-02-25,195.77951049804688,205.2311379619286,194.7736173973421,204.55737145261648,1995300
2020-02-26,191.3668670654297,200.22064663351532,191.30993190421202,196.95622891084008,1993400
2020-02-27,184.90447998046875,191.8413609396215,184.90447998046875,188.29225265542567,2090700
2020-02-28,180.86187744140625,182.16195957307303,175.58567398719075,178.53693354981175,3091100
2020-03-02,187.15350341796875,187.18197100040928,180.84293832451053,182.61748520307222,2503900
2020-03-03,179.1917266845703,191.22450622112845,176.18353180043079,188.5579367691282,3061000
2020-03-04,188.2732696533203,188.36817124945645,180.27356031335444,184.64825746413933,2532600
2020-03-05,179.92242431640625,187.12501132961737,176.39229975658176,187.12501132961737,2797800
2020-03-06,176.3922882080078,178.1193839499299,174.58925962122603,176.17401747890503,2798600
2020-03-09,163.81866455078125,168.76272884059728,162.58501595072778,166.37136451674985,3095900
2020-03-10,174.1907196044922,174.40897587938235,164.48288379586458,170.55620890547684,2987200
2020-03-11,166.656005859375,170.07226058527306,163.04047805443736,169.59778156667335,2881100
2020-03-12,146.37677001953125,161.84478815907622,146.06361214510457,157.52702640675648,4075100
2020-03-13,155.91380310058594,157.47957801668616,144.2416167443614,156.5780708080239,4716900
2020-03-16,136.4886016845703,143.12182189859826,131.18393107435395,140.32238481339917,5757500
2020-03-17,133.00592041015625,139.3354668029583,130.007210474392,139.22159650765835,3902400
2020-03-18,131.9051513671875,132.14239084806374,119.6161491537882,126.4771108863433,5096300
2020-03-19,141.8692169189453,145.5701472205032,124.32297879090396,129.7794871339403,3485700
2020-03-20,132.2657928466797,148.87256063064555,131.98110250296406,145.4373222483947,5222000
2020-03-23,120.04317474365234,129.62765535706168,118.18321812234997,129.21959592915036,5261800
2020-03-24,136.1185302734375,137.3142120742181,124.93980681297339,129.05828082894456,3529500
2020-03-25,145.23802185058594,150.14413287349677,134.36295701995255,138.31062569508245,3657400
2020-03-26,154.9932861328125,157.41313152685996,145.23800067158638,147.21183472132148,3278200
2020-03-27,151.09307861328125,155.74296655028652,145.84534256325156,148.22722168919492,3398900
2020-03-30,155.2027130126953,155.74557206587227,147.07874844345076,153.55505476798658,2325900
2020-03-31,158.56463623046875,162.8123201714396,154.77408440502418,155.03123575243765,2876200
2020-04-01,137.7833251953125,148.0597009126124,136.90712136248428,146.1929956809832,3238100
2020-04-02,142.4595947265625,143.33579852849292,135.2404212029634,135.83090289868326,2140100
2020-04-03,141.02149963378906,144.6025088709115,139.57385141774722,142.27865673086413,2061500
2020-04-06,157.77410888671875,159.1360297798035,150.431120767075,151.02161685791017,3188400
