Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,URL_Entropy,Domain_Entropy,Subdomain_Count,Digit_Count,Special_Char_Count,Uppercase_Ratio,Domain_Age,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
bafybeigw5jlwvykqqwfwiz7bykja2imjyes2ouyl57dd33vpydeip4efgy.ipfs.w3s.link,0,0,1,1,0,0,0,0,4.8682111293901755,4.551949388295933,2,15,0,0.010638297872340425,-1,1,0,1,0,1
ezdriverma.com-xaaawc.vip,0,0,0,0,0,0,0,1,4.1829073264808265,3.763856189774725,1,0,0,0.0,-1,1,1,1,1,1
netzeromailaccount.weebly.com,0,0,0,0,0,0,0,0,4.188331131693838,3.8404025467025056,1,0,0,0.0,-1,1,1,1,1,1
q-r.to,0,0,0,1,0,0,0,1,3.9394709940012875,2.584962500721156,0,0,0,0.14285714285714285,-1,1,0,1,0,1
l.ead.me,0,0,0,1,0,0,0,0,3.9690016298759927,2.5,1,1,0,0.08695652173913043,-1,1,1,1,1,1
sites.google.com,0,0,1,3,0,0,0,0,4.380435205164132,3.202819531114783,1,4,1,0.0,-1,0,0,1,0,1
new.express.adobe.com,0,0,0,2,0,0,0,0,4.696455979014293,3.5944656369614525,2,2,0,0.19607843137254902,-1,1,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,5.50059419982356,2.9735572622751856,1,20,7,0.18497109826589594,-1,1,0,1,0,1
novoba1.systeme.io,0,0,0,0,0,0,0,0,3.921029621737615,3.57243125132212,1,1,0,0.0,-1,1,1,1,1,1
porting-8c9a6.firebaseapp.com,0,0,0,0,0,0,0,1,4.293594289588575,4.1162646156680225,1,3,0,0.0,-1,1,1,1,1,1
getipass.com-wgke.xin,0,0,0,0,0,0,0,1,4.0980685120588385,3.916126946588284,1,0,0,0.0,-1,1,1,1,1,1
curtismscaparrotti03.mfs.gg,0,0,0,1,0,0,0,0,4.330464394730848,3.782122224145305,1,2,0,0.11627906976744186,-1,1,0,1,0,1
shorturl.at,0,0,0,1,0,0,0,0,3.7834651896016473,3.095795255000934,0,1,0,0.08,-1,1,0,1,0,1
bit.ly,0,0,0,1,0,0,1,0,3.936260027531527,2.584962500721156,0,2,0,0.13636363636363635,-1,1,0,1,0,1
bit.ly,0,0,0,1,0,0,1,0,3.8453509366224363,2.584962500721156,0,1,0,0.09090909090909091,-1,1,0,1,0,1
pub-1f1a35f8dc62417ca5074987edc3aa1b.r2.dev,0,0,1,1,0,0,0,1,4.770305074793775,4.303830742923251,1,20,0,0.03076923076923077,-1,1,1,1,1,1
paytollybce.vip,0,0,0,0,0,0,0,0,3.8239348962840563,3.506890595608519,0,0,0,0.0,-1,1,1,1,1,1
allegrolokalnie.pl-oferta472190.cfd,0,0,0,0,0,0,0,1,4.473429846245158,4.218588646061332,1,6,0,0.0,-1,1,1,1,1,1
