Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,URL_Entropy,Domain_Entropy,Subdomain_Count,Digit_Count,Special_Char_Count,Uppercase_Ratio,Domain_Age,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
metacafe.com,0,0,1,3,0,0,0,0,4.542930907952342,2.918295834054489,0,3,0,0.05,-1,1,1,1,1,0
youtube.com,0,0,0,1,0,0,0,0,4.57149992907039,3.095795255000934,0,3,1,0.023255813953488372,-1,0,0,1,0,0
oliver-hardy.gonetoosoon.org,0,0,0,0,0,0,0,1,4.05448073717368,3.6499844950373648,1,0,0,0.0,-1,1,1,1,1,0
sportsillustrated.cnn.com,0,0,1,10,0,0,0,0,4.635739381441797,3.7834651896016473,1,19,0,0.018018018018018018,-1,1,1,1,1,0
city-data.com,0,0,1,3,0,0,0,1,4.317785240177574,3.238901256602631,0,6,0,0.0,-1,1,1,1,0,0
linkedin.com,0,0,0,2,0,0,0,0,4.109793482608794,3.2516291673878226,0,0,0,0.0,-1,1,0,1,0,0
mylife.com,0,0,0,1,0,0,0,0,4.0860486123130375,3.1219280948873624,0,0,0,0.0,-1,1,0,1,0,0
tviv.org,0,0,0,2,0,0,0,0,3.869331261111518,2.75,0,2,0,0.03571428571428571,-1,1,1,1,1,0
pennsylvania.hometownlocator.com,0,0,1,3,0,0,0,0,4.102299103071673,3.8636085007312415,1,0,0,0.0,-1,1,1,1,1,0
jeremyhowardbeck.com,0,0,1,1,0,0,0,0,4.334078253057284,3.684183719779189,0,0,0,0.0,-1,1,0,1,0,0
en.wikipedia.org,0,0,0,2,0,0,0,0,4.035724486655665,3.452819531114783,1,0,0,0.044444444444444446,-1,1,1,1,1,0
zoominfo.com,0,0,1,2,0,0,0,0,4.695501148817396,2.7516291673878226,0,7,0,0.03225806451612903,-1,1,0,1,0,0
worthpoint.com,0,0,1,2,0,0,1,0,4.322048343671982,3.3248629576173565,0,4,0,0.0,-1,1,0,1,0,0
sportsdesignblog.com,0,0,1,3,0,0,0,0,4.492948273365293,3.746439344671016,0,6,0,0.0,-1,1,0,1,0,0
vacationskerala.com,0,0,1,2,0,0,0,0,4.217748967703104,3.616348566075165,0,0,0,0.0,-1,1,1,1,1,0
veterinerhekimiz.com,0,0,1,1,0,0,0,0,4.262311997737562,3.484183719779189,0,0,0,0.0,-1,1,1,1,1,0
norwichbulletin.com,0,0,1,4,0,0,0,0,4.797666825623971,3.7216117239699016,0,9,0,0.025,-1,1,0,1,0,0
en.wikipedia.org,0,0,0,2,0,0,0,0,4.03280638688745,3.452819531114783,1,0,0,0.041666666666666664,-1,1,1,1,1,0
en.wikipedia.org,0,0,1,2,0,0,0,0,4.363172871535663,3.452819531114783,1,0,0,0.06779661016949153,-1,1,1,1,1,0
fathead.com,0,0,1,3,0,0,0,0,4.164855848974478,3.277613436819116,0,0,0,0.0,-1,0,0,1,0,0
lawguru.com,0,0,0,3,0,0,0,0,4.378171939471839,3.277613436819116,0,0,0,0.1,-1,1,0,1,0,0
usnpl.com,0,0,0,2,0,0,0,0,3.8471282101364253,3.169925001442312,0,0,0,0.0,-1,1,0,1,0,0
arrowflowers.com,0,0,0,0,0,0,0,0,3.7588670992335302,3.2806390622295662,0,0,0,0.0,-1,0,0,1,0,0
legacy.com,0,0,1,3,0,0,0,0,4.839682693511402,3.1219280948873624,0,9,3,0.0,-1,1,0,1,0,0
local.yahoo.com,0,0,1,1,0,0,0,0,4.476929403762851,2.8402239289418523,1,8,0,0.0,-1,1,1,1,1,0
tsn.ca,0,0,0,2,0,0,0,0,4.333622334791383,2.584962500721156,0,6,1,0.0,-1,1,0,1,0,0
stopwaste.org,0,0,0,2,0,0,0,0,3.9464393446710155,3.238901256602631,0,0,0,0.0,-1,0,0,1,0,0
facebook.com,0,0,0,1,0,0,0,0,4.210777084415067,3.0220552088742005,0,0,0,0.0,-1,1,0,1,0,0
lead411.com,0,0,0,1,0,0,0,0,4.639721323486283,3.277613436819116,0,10,0,0.04081632653061224,-1,1,0,1,0,0
angelfire.com,0,0,0,3,0,0,0,0,4.1904149473433545,3.546593564294939,0,1,0,0.02040816326530612,-1,0,0,1,0,0
sinemafanatik.com,0,0,1,2,0,0,0,0,4.759768969115541,3.4548223999466066,0,8,5,0.022222222222222223,-1,1,0,1,0,0
facebook.com,0,0,1,3,0,0,0,0,4.629244771146228,3.0220552088742005,0,11,0,0.03571428571428571,-1,1,0,1,0,0
archive.org,0,0,1,2,0,0,0,0,4.210021707778463,3.277613436819116,0,2,0,0.0,-1,0,0,1,0,0
mp3lyrics.org,0,0,0,3,0,0,0,0,4.238149333192866,3.546593564294939,0,1,0,0.0,-1,1,0,1,0,0
geni.com,0,0,1,3,0,0,0,0,4.262174957473503,3.0,0,19,0,0.03333333333333333,-1,0,0,1,0,0
en.wikipedia.org,0,0,0,2,0,0,0,0,4.254930446501112,3.452819531114783,1,0,0,0.04081632653061224,-1,1,1,1,1,0
sad1.org,0,0,0,1,0,0,0,0,3.781076011914607,3.0,0,2,0,0.0,-1,1,0,1,0,0
groups.google.com,0,0,1,5,0,0,0,0,4.523656866012611,3.2195282822995477,1,11,0,0.0,-1,1,1,1,1,0
static.tokyohive.com,0,0,0,0,0,0,0,0,3.873812589567827,3.5464393446710156,1,0,0,0.0,-1,1,1,1,1,0
uk.linkedin.com,0,0,1,5,0,0,0,0,4.544715944599469,3.3735572622751855,1,7,0,0.0,-1,1,1,1,1,0
historycommons.org,0,0,1,1,0,0,0,0,4.352112536453742,3.3921472236645345,0,1,1,0.0,-1,1,1,1,1,0
facebook.com,0,0,0,1,0,0,0,0,4.194385682587764,3.0220552088742005,0,2,0,0.05555555555555555,-1,1,0,1,0,0
riotintoalcansustainablehomes.com,0,0,0,0,0,0,0,0,4.075101293381128,3.740771391823488,0,0,0,0.0,-1,1,1,1,1,0
generalcable.com,0,0,1,4,0,0,0,0,4.4514290091162785,3.327819531114783,0,0,0,0.10126582278481013,-1,0,0,1,0,0
sports-reference.com,0,0,1,4,0,0,0,1,4.166968969089659,3.3841837197791893,0,4,0,0.0,-1,0,0,1,0,0
tutorgig.com,0,0,1,2,0,0,0,0,4.5582538038123905,3.084962500721156,0,0,0,0.06779661016949153,-1,1,1,1,1,0
mondotimes.com,0,0,0,3,0,0,0,0,3.9900097040407405,3.1280852788913944,0,1,0,0.0,-1,1,0,1,0,0
obituaries.pressherald.com,0,0,1,3,0,0,0,0,4.702672412737683,3.8441065448145384,1,9,3,0.0,-1,1,1,1,1,0
fanbase.com,0,0,0,1,0,0,0,0,4.555467129755085,3.277613436819116,0,4,0,0.06818181818181818,-1,1,1,1,1,0
sanookdvd.com,0,0,1,1,0,0,0,0,4.899094438677237,3.180832987205441,0,50,38,0.22099447513812154,-1,1,1,1,1,0
indy.gov,0,0,1,8,0,0,0,0,4.738701822946777,3.0,0,0,0,0.12612612612612611,-1,1,0,1,0,0
upcoming.yahoo.com,0,0,1,6,0,0,0,0,4.777442953970883,3.3921472236645345,1,7,0,0.10091743119266056,-1,1,1,1,1,0
ballparkreviews.com,0,0,0,2,0,0,0,0,4.03310427711749,3.8268748818646383,0,0,0,0.0,-1,1,0,1,0,0
supernatural.tv,0,0,0,0,0,0,0,0,4.405855662943599,3.3735572622751855,0,4,1,0.0,-1,0,0,1,0,0
whosdatedwho.com,0,0,1,2,0,0,0,0,4.700673342574799,3.327819531114783,0,7,0,0.0,-1,1,0,1,0,0
en.wikipedia.org,0,0,1,2,0,0,0,0,4.408841989865872,3.452819531114783,1,0,1,0.04477611940298507,-1,1,1,1,1,0
nfl.com,0,0,1,3,0,0,0,0,4.404112332400034,2.8073549220576046,0,0,1,0.05454545454545454,-1,0,0,1,0,0
mcclelland.com,0,0,1,2,0,0,0,0,4.643936764858604,2.9852281360342516,0,13,1,0.0,-1,1,1,1,1,0
ripten.com,0,0,1,4,0,0,0,0,4.634506481885105,3.3219280948873626,0,8,0,0.0,-1,1,0,1,0,0
